,date,opponent_Aston Villa,opponent_Bournemouth,opponent_Brentford,opponent_Brighton and Hove Albion,opponent_Burnley,opponent_Cardiff City,opponent_Chelsea,opponent_Crystal Palace,opponent_Everton,opponent_Fulham,opponent_Huddersfield Town,opponent_Leeds United,opponent_Leicester City,opponent_Liverpool,opponent_Luton Town,opponent_Manchester City,opponent_Manchester United,opponent_Newcastle United,opponent_Norwich City,opponent_Nottingham Forest,opponent_Sheffield United,opponent_Southampton,opponent_Tottenham Hotspur,opponent_Watford,opponent_West Bromwich Albion,opponent_West Ham United,opponent_Wolverhampton Wanderers,team_Aston Villa,team_Bournemouth,team_Brentford,team_Brighton and Hove Albion,team_Burnley,team_Cardiff City,team_Chelsea,team_Crystal Palace,team_Everton,team_Fulham,team_Huddersfield Town,team_Leeds United,team_Leicester City,team_Liverpool,team_Luton Town,team_Manchester City,team_Manchester United,team_Newcastle United,team_Norwich City,team_Nottingham Forest,team_Sheffield United,team_Southampton,team_Tottenham Hotspur,team_Watford,team_West Bromwich Albion,team_West Ham United,team_Wolverhampton Wanderers,venue_code,target,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,day_code_1,day_code_2,day_code_3,day_code_4,day_code_5,day_code_6,gf,ga,xg,xga,poss,attendance,sh,sot,dist,fk,pk,pkatt
43,2021-05-23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,0.2222222222222222,0.02857142857142857,0.11428571428571428,0.4375,0.1008420309585035,0.1388888888888889,0.06666666666666667,0.5000000000000001,0.0,0.0,0.0
1,2020-09-20,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.2222222222222222,0.4444444444444444,0.19999999999999998,0.1714285714285714,0.234375,,0.4444444444444444,0.3333333333333333,0.3208092485549132,0.25,0.0,0.0
3,2020-09-26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.0,0.1111111111111111,0.07142857142857142,0.0857142857142857,0.546875,,0.2777777777777778,0.13333333333333333,0.37572254335260125,0.25,0.0,0.0
5,2020-10-03,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.1111111111111111,0.3333333333333333,0.05714285714285714,0.2571428571428571,0.53125,,0.19444444444444442,0.2,0.23410404624277462,0.0,0.0,0.0
6,2020-10-19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.15714285714285714,0.11428571428571428,0.390625,,0.25,0.26666666666666666,0.3121387283236995,0.25,0.0,0.0
7,2020-10-26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.1111111111111111,0.14285714285714285,0.0857142857142857,0.328125,,0.3611111111111111,0.2,0.4566473988439307,0.25,0.0,0.0
8,2020-10-31,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.3333333333333333,0.07142857142857142,0.12857142857142856,0.296875,,0.1388888888888889,0.0,0.5520231213872833,0.0,0.0,0.0
9,2020-11-06,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.0,0.0,0.07142857142857142,0.21428571428571427,0.359375,,0.1111111111111111,0.06666666666666667,0.18497109826589594,0.0,0.0,0.0
10,2020-11-23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.1111111111111111,0.0,0.21428571428571427,0.21428571428571427,0.4375,,0.2777777777777778,0.26666666666666666,0.3843930635838151,0.0,0.0,0.0
11,2020-11-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.5555555555555556,0.07142857142857142,0.24285714285714283,0.21875,,0.25,0.06666666666666667,0.4219653179190751,0.25,0.0,0.0
12,2020-12-05,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1111111111111111,0.1111111111111111,0.11428571428571428,0.3142857142857143,0.375,,0.2222222222222222,0.2,0.3843930635838151,0.0,0.0,0.0
13,2020-12-13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.1111111111111111,0.0,0.19999999999999998,0.22857142857142856,0.265625,0.0,0.2777777777777778,0.13333333333333333,0.3063583815028902,0.0,0.0,0.0
14,2020-12-17,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.0,0.0,0.04285714285714285,0.21428571428571427,0.359375,,0.16666666666666666,0.26666666666666666,0.4161849710982659,0.25,0.0,0.0
15,2020-12-21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.2222222222222222,0.1111111111111111,0.24285714285714283,0.21428571428571427,0.296875,,0.2777777777777778,0.26666666666666666,0.30346820809248554,0.25,0.0,0.0
